flight_id,tail_id,client_id,maintenance_needed,hazard_score,pred_time_to_failure_hours
FL2071,TAIL1062,AL2,1,0.885,62.4
FL2072,TAIL1062,AL2,1,0.868,53.1
FL2073,TAIL1062,AL2,0,0.635,88.0
FL2074,TAIL1062,AL2,0,0.674,64.6
FL2075,TAIL1062,AL2,0,0.742,87.7
FL2076,TAIL1062,AL2,0,0.811,73.8
FL2077,TAIL1063,AL1,1,1.8,31.0
FL2078,TAIL1063,AL1,1,1.365,36.7
FL2079,TAIL1063,AL1,0,0.859,44.5
FL2080,TAIL1063,AL1,0,0.478,66.5
FL2081,TAIL1063,AL1,0,0.589,64.1
FL2082,TAIL1063,AL1,0,0.718,79.1
FL2083,TAIL1063,AL1,0,0.811,68.0
FL2084,TAIL1063,AL1,1,0.878,47.1
FL2085,TAIL1063,AL1,0,0.597,68.7
FL2086,TAIL1063,AL1,0,0.734,67.9
FL2087,TAIL1063,AL1,0,0.713,76.3
FL2088,TAIL1063,AL1,0,0.777,58.6
FL2089,TAIL1063,AL1,1,0.935,72.1
FL2090,TAIL1063,AL1,0,0.803,62.7
FL2091,TAIL1063,AL1,0,0.854,59.6
FL2092,TAIL1063,AL1,0,0.449,105.3
FL2093,TAIL1063,AL1,0,0.706,53.0
FL2094,TAIL1063,AL1,1,0.878,87.8
FL2095,TAIL1063,AL1,0,0.66,72.7
FL2096,TAIL1063,AL1,0,0.802,80.5
FL2097,TAIL1063,AL1,0,0.503,98.8
FL2098,TAIL1063,AL1,0,0.775,54.8
FL2099,TAIL1063,AL1,0,0.817,67.4
FL2100,TAIL1064,AL3,1,1.8,43.0
FL2101,TAIL1064,AL3,1,1.577,53.9
FL2102,TAIL1064,AL3,1,0.947,58.6
FL2103,TAIL1064,AL3,1,0.933,46.8
FL2104,TAIL1064,AL3,0,0.357,86.1
FL2105,TAIL1064,AL3,0,0.485,81.3
FL2106,TAIL1064,AL3,0,0.484,77.1
FL2107,TAIL1064,AL3,0,0.648,67.3
FL2108,TAIL1064,AL3,0,0.79,65.7
FL2109,TAIL1064,AL3,0,0.825,45.4
FL2110,TAIL1064,AL3,1,0.981,49.3
FL2111,TAIL1064,AL3,1,1.081,44.7
FL2112,TAIL1064,AL3,0,0.64,88.1
FL2113,TAIL1064,AL3,1,0.882,63.6
FL2114,TAIL1064,AL3,0,0.5,67.9
FL2115,TAIL1064,AL3,0,0.794,69.8
FL2116,TAIL1064,AL3,0,0.578,83.2
FL2117,TAIL1064,AL3,0,0.715,66.0
FL2118,TAIL1064,AL3,1,0.887,82.7
FL2119,TAIL1065,AL1,1,1.648,39.3
FL2120,TAIL1065,AL1,1,1.033,48.1
FL2121,TAIL1065,AL1,0,0.464,79.5
FL2122,TAIL1065,AL1,0,0.764,51.9
FL2123,TAIL1065,AL1,0,0.811,71.7
FL2124,TAIL1065,AL1,0,0.554,84.4
FL2125,TAIL1065,AL1,0,0.622,65.1
FL2126,TAIL1065,AL1,1,0.918,74.6
FL2127,TAIL1065,AL1,0,0.857,59.9
FL2128,TAIL1065,AL1,0,0.462,64.1
FL2129,TAIL1065,AL1,0,0.518,86.6
FL2130,TAIL1065,AL1,0,0.617,67.6
FL2131,TAIL1065,AL1,1,0.904,52.1
FL2132,TAIL1065,AL1,1,0.864,40.6
FL2133,TAIL1065,AL1,0,0.55,68.9
FL2134,TAIL1065,AL1,0,0.625,85.5
FL2135,TAIL1065,AL1,0,0.676,74.2
FL2136,TAIL1065,AL1,0,0.682,65.1
FL2137,TAIL1066,AL3,1,1.8,28.5
FL2138,TAIL1066,AL3,1,1.683,66.3
FL2139,TAIL1066,AL3,1,1.187,64.4
FL2140,TAIL1066,AL3,1,0.936,39.8
FL2141,TAIL1066,AL3,0,0.592,68.2
FL2142,TAIL1066,AL3,1,0.914,42.7
FL2143,TAIL1066,AL3,0,0.774,62.9
FL2144,TAIL1066,AL3,0,0.713,51.7
FL2145,TAIL1066,AL3,0,0.803,57.4
FL2146,TAIL1066,AL3,0,0.616,71.7
FL2147,TAIL1066,AL3,0,0.67,72.4
FL2148,TAIL1066,AL3,0,0.809,63.3
FL2149,TAIL1066,AL3,0,0.853,67.5
FL2150,TAIL1066,AL3,0,0.498,81.0
FL2151,TAIL1066,AL3,0,0.592,75.4
FL2152,TAIL1066,AL3,1,0.894,43.1
FL2153,TAIL1066,AL3,0,0.399,104.2
FL2154,TAIL1066,AL3,0,0.498,84.5
FL2155,TAIL1066,AL3,0,0.784,81.4
FL2156,TAIL1067,AL2,1,1.8,34.9
FL2157,TAIL1067,AL2,1,1.27,47.5
FL2158,TAIL1067,AL2,0,0.622,57.3
FL2159,TAIL1067,AL2,0,0.616,86.0
FL2160,TAIL1067,AL2,1,0.929,47.1
FL2161,TAIL1067,AL2,0,0.569,75.3
FL2162,TAIL1067,AL2,1,0.876,59.1
FL2163,TAIL1067,AL2,0,0.795,63.6
FL2164,TAIL1067,AL2,0,0.548,54.0
FL2165,TAIL1067,AL2,0,0.742,72.9
FL2166,TAIL1067,AL2,0,0.785,90.6
FL2167,TAIL1067,AL2,0,0.512,63.1
FL2168,TAIL1067,AL2,0,0.584,59.2
FL2169,TAIL1067,AL2,0,0.576,69.1
FL2170,TAIL1067,AL2,0,0.801,49.7
FL2171,TAIL1068,AL4,1,1.8,47.9
FL2172,TAIL1068,AL4,1,1.8,25.4
FL2173,TAIL1068,AL4,1,1.8,58.7
FL2174,TAIL1068,AL4,1,1.227,19.5
FL2175,TAIL1068,AL4,0,0.41,80.8
FL2176,TAIL1068,AL4,0,0.393,71.8
FL2177,TAIL1068,AL4,0,0.518,88.2
FL2178,TAIL1068,AL4,0,0.786,48.5
FL2179,TAIL1068,AL4,0,0.638,60.9
FL2180,TAIL1068,AL4,0,0.73,72.3
FL2181,TAIL1068,AL4,0,0.77,63.8
FL2182,TAIL1068,AL4,1,0.931,56.6
FL2183,TAIL1068,AL4,0,0.629,45.5
FL2184,TAIL1068,AL4,0,0.799,74.3
FL2185,TAIL1069,AL1,1,1.8,40.9
FL2186,TAIL1069,AL1,1,1.8,46.9
FL2187,TAIL1069,AL1,0,0.672,63.1
FL2188,TAIL1069,AL1,0,0.698,58.5
FL2189,TAIL1069,AL1,0,0.777,64.0
FL2190,TAIL1069,AL1,0,0.766,58.5
FL2191,TAIL1069,AL1,0,0.816,51.1
FL2192,TAIL1069,AL1,1,0.947,64.1
FL2193,TAIL1070,AL3,1,1.8,28.2
FL2194,TAIL1070,AL3,1,1.8,42.3
FL2195,TAIL1070,AL3,1,1.8,40.6
FL2196,TAIL1070,AL3,0,0.85,45.3
FL2197,TAIL1070,AL3,1,1.226,42.7
FL2198,TAIL1070,AL3,1,1.023,44.5
FL2199,TAIL1070,AL3,0,0.456,71.2
FL2200,TAIL1070,AL3,0,0.541,79.2
FL2201,TAIL1070,AL3,0,0.74,70.3
FL2202,TAIL1070,AL3,1,1.095,45.3
FL2203,TAIL1070,AL3,1,0.905,65.8
FL2204,TAIL1070,AL3,1,0.87,61.1
FL2205,TAIL1070,AL3,0,0.821,48.2
FL2206,TAIL1070,AL3,0,0.545,71.5
FL2207,TAIL1070,AL3,0,0.627,66.2
FL2208,TAIL1070,AL3,0,0.662,73.0
FL2209,TAIL1070,AL3,0,0.777,51.0
FL2210,TAIL1070,AL3,1,0.933,51.1
FL2211,TAIL1070,AL3,0,0.658,57.9
FL2212,TAIL1071,AL4,1,1.8,38.4
FL2213,TAIL1071,AL4,1,1.8,44.2
FL2214,TAIL1071,AL4,1,1.683,54.7
FL2215,TAIL1071,AL4,0,0.687,62.7
FL2216,TAIL1071,AL4,0,0.673,50.6
FL2217,TAIL1071,AL4,0,0.775,52.8
FL2218,TAIL1071,AL4,0,0.823,54.1
FL2219,TAIL1071,AL4,1,0.992,56.6
FL2220,TAIL1071,AL4,0,0.567,79.4
FL2221,TAIL1071,AL4,0,0.627,75.9
FL2222,TAIL1071,AL4,0,0.746,80.1
FL2223,TAIL1071,AL4,0,0.83,68.2
FL2224,TAIL1071,AL4,0,0.748,57.5
FL2225,TAIL1071,AL4,1,0.974,71.5
FL2226,TAIL1072,AL2,1,1.169,40.6
FL2227,TAIL1072,AL2,1,1.027,55.3
FL2228,TAIL1072,AL2,0,0.468,57.6
FL2229,TAIL1072,AL2,0,0.479,72.0
FL2230,TAIL1072,AL2,0,0.749,61.4
FL2231,TAIL1072,AL2,1,0.88,67.7
FL2232,TAIL1072,AL2,0,0.609,67.6
FL2233,TAIL1072,AL2,1,0.911,48.4
FL2234,TAIL1072,AL2,1,0.92,55.1
FL2235,TAIL1072,AL2,0,0.548,66.8
FL2236,TAIL1072,AL2,0,0.726,77.3
FL2237,TAIL1072,AL2,0,0.752,55.8
FL2238,TAIL1072,AL2,1,0.933,56.3
FL2239,TAIL1072,AL2,0,0.549,88.8
FL2240,TAIL1072,AL2,0,0.582,71.9
FL2241,TAIL1072,AL2,0,0.728,67.9
FL2242,TAIL1072,AL2,0,0.859,43.1
FL2243,TAIL1073,AL4,1,1.8,29.2
FL2244,TAIL1073,AL4,1,1.8,41.4
FL2245,TAIL1073,AL4,0,0.469,61.0
FL2246,TAIL1073,AL4,0,0.549,73.2
FL2247,TAIL1073,AL4,0,0.631,51.8
FL2248,TAIL1073,AL4,1,0.986,57.8
FL2249,TAIL1073,AL4,0,0.76,50.3
FL2250,TAIL1073,AL4,0,0.839,50.9
FL2251,TAIL1073,AL4,1,0.91,80.3
FL2252,TAIL1073,AL4,0,0.772,75.8
FL2253,TAIL1073,AL4,0,0.819,78.9
FL2254,TAIL1073,AL4,0,0.712,83.5
FL2255,TAIL1074,AL2,1,1.8,26.0
FL2256,TAIL1074,AL2,1,1.8,42.3
FL2257,TAIL1074,AL2,1,1.8,56.3
FL2258,TAIL1074,AL2,1,1.131,54.9
FL2259,TAIL1074,AL2,0,0.627,61.3
FL2260,TAIL1074,AL2,0,0.664,62.8
FL2261,TAIL1074,AL2,0,0.765,55.1
FL2262,TAIL1074,AL2,0,0.794,47.8
FL2263,TAIL1074,AL2,1,0.967,64.3
FL2264,TAIL1074,AL2,0,0.593,58.7
FL2265,TAIL1074,AL2,0,0.68,76.9
FL2266,TAIL1074,AL2,0,0.809,66.1
FL2267,TAIL1074,AL2,0,0.822,57.2
FL2268,TAIL1074,AL2,1,0.964,51.0
FL2269,TAIL1074,AL2,0,0.658,62.9
FL2270,TAIL1074,AL2,1,0.964,67.0
FL2271,TAIL1074,AL2,0,0.697,72.3
FL2272,TAIL1074,AL2,0,0.742,66.5
FL2273,TAIL1074,AL2,0,0.788,44.6
FL2274,TAIL1074,AL2,0,0.703,75.2
FL2275,TAIL1074,AL2,0,0.795,45.1
FL2276,TAIL1075,AL2,1,1.8,50.3
FL2277,TAIL1075,AL2,1,1.203,46.7
FL2278,TAIL1075,AL2,0,0.734,50.7
FL2279,TAIL1075,AL2,1,0.868,76.0
FL2280,TAIL1075,AL2,0,0.863,71.7
FL2281,TAIL1075,AL2,0,0.679,54.3
FL2282,TAIL1075,AL2,0,0.777,80.3
FL2283,TAIL1075,AL2,0,0.694,72.9
FL2284,TAIL1075,AL2,0,0.815,75.6
FL2285,TAIL1075,AL2,0,0.524,79.7
FL2286,TAIL1075,AL2,0,0.653,74.1
FL2287,TAIL1075,AL2,0,0.691,68.1
FL2288,TAIL1076,AL4,1,1.8,32.9
FL2289,TAIL1076,AL4,1,1.406,55.7
FL2290,TAIL1076,AL4,0,0.632,68.1
FL2291,TAIL1076,AL4,0,0.7,74.2
FL2292,TAIL1076,AL4,0,0.74,65.8
FL2293,TAIL1076,AL4,0,0.854,49.5
FL2294,TAIL1076,AL4,0,0.55,57.9
FL2295,TAIL1076,AL4,0,0.64,84.3
FL2296,TAIL1076,AL4,0,0.613,71.1
FL2297,TAIL1076,AL4,0,0.772,44.1
FL2298,TAIL1076,AL4,1,0.977,72.3
FL2299,TAIL1076,AL4,0,0.393,111.1
FL2300,TAIL1077,AL4,1,1.8,34.5
FL2301,TAIL1077,AL4,1,1.26,33.5
FL2302,TAIL1077,AL4,0,0.341,88.9
FL2303,TAIL1077,AL4,0,0.412,84.2
FL2304,TAIL1077,AL4,0,0.497,88.0
FL2305,TAIL1077,AL4,0,0.623,49.0
FL2306,TAIL1077,AL4,0,0.857,58.5
FL2307,TAIL1077,AL4,0,0.593,79.0
FL2308,TAIL1077,AL4,0,0.644,69.2
FL2309,TAIL1077,AL4,0,0.701,67.6
FL2310,TAIL1077,AL4,0,0.74,34.1
FL2311,TAIL1077,AL4,0,0.82,75.4
FL2312,TAIL1077,AL4,1,0.929,57.3
FL2313,TAIL1077,AL4,0,0.683,65.2
FL2314,TAIL1077,AL4,0,0.721,63.5
FL2315,TAIL1077,AL4,0,0.806,76.5
FL2316,TAIL1077,AL4,0,0.522,71.4
FL2317,TAIL1077,AL4,0,0.646,76.0
FL2318,TAIL1077,AL4,0,0.733,45.1
FL2319,TAIL1077,AL4,1,0.865,70.1
FL2320,TAIL1077,AL4,0,0.644,55.1
FL2321,TAIL1077,AL4,0,0.781,40.6
FL2322,TAIL1078,AL4,1,1.8,10.7
FL2323,TAIL1078,AL4,1,1.201,65.1
FL2324,TAIL1078,AL4,1,0.996,55.0
FL2325,TAIL1078,AL4,1,0.951,57.8
FL2326,TAIL1078,AL4,1,0.913,53.0
FL2327,TAIL1078,AL4,1,0.975,53.8
FL2328,TAIL1078,AL4,0,0.862,59.3
FL2329,TAIL1078,AL4,0,0.689,45.1
FL2330,TAIL1078,AL4,0,0.731,83.6
FL2331,TAIL1078,AL4,0,0.744,55.3
FL2332,TAIL1078,AL4,1,0.933,56.9
FL2333,TAIL1078,AL4,0,0.8,74.1
FL2334,TAIL1078,AL4,0,0.477,89.0
FL2335,TAIL1078,AL4,0,0.734,61.2
FL2336,TAIL1078,AL4,1,1.034,54.4
FL2337,TAIL1078,AL4,0,0.669,76.4
FL2338,TAIL1078,AL4,0,0.765,57.5
FL2339,TAIL1078,AL4,1,0.87,30.9
FL2340,TAIL1078,AL4,0,0.621,84.8
FL2341,TAIL1078,AL4,0,0.661,66.1
FL2342,TAIL1078,AL4,0,0.717,78.3
FL2343,TAIL1078,AL4,1,0.988,42.2
FL2344,TAIL1078,AL4,1,0.941,51.7
FL2345,TAIL1078,AL4,0,0.706,53.8
FL2346,TAIL1078,AL4,0,0.818,56.1
FL2347,TAIL1079,AL1,1,1.8,50.5
FL2348,TAIL1079,AL1,1,1.8,36.7
FL2349,TAIL1079,AL1,0,0.754,72.1
FL2350,TAIL1079,AL1,0,0.692,73.5
FL2351,TAIL1079,AL1,1,0.915,66.1
FL2352,TAIL1079,AL1,0,0.594,69.5
FL2353,TAIL1079,AL1,0,0.626,72.2
FL2354,TAIL1079,AL1,0,0.839,64.7
FL2355,TAIL1079,AL1,1,0.92,63.4
FL2356,TAIL1079,AL1,0,0.519,63.6
FL2357,TAIL1079,AL1,0,0.583,76.7
FL2358,TAIL1079,AL1,0,0.725,63.5
FL2359,TAIL1079,AL1,0,0.776,72.1
FL2360,TAIL1079,AL1,0,0.801,68.8
FL2361,TAIL1079,AL1,1,0.909,58.7
FL2362,TAIL1079,AL1,0,0.523,85.6
FL2363,TAIL1079,AL1,0,0.524,81.1
FL2364,TAIL1079,AL1,0,0.675,79.5
FL2365,TAIL1080,AL1,1,1.642,32.7
FL2366,TAIL1080,AL1,1,1.263,38.2
FL2367,TAIL1080,AL1,0,0.518,61.0
FL2368,TAIL1080,AL1,0,0.621,69.8
FL2369,TAIL1080,AL1,0,0.783,65.7
FL2370,TAIL1080,AL1,0,0.794,72.0
FL2371,TAIL1080,AL1,0,0.65,79.6
FL2372,TAIL1080,AL1,0,0.756,79.3
FL2373,TAIL1080,AL1,0,0.768,62.8
FL2374,TAIL1080,AL1,1,0.973,87.3
FL2375,TAIL1080,AL1,1,0.94,56.3
FL2376,TAIL1080,AL1,0,0.705,61.9
FL2377,TAIL1080,AL1,0,0.784,74.4
FL2378,TAIL1080,AL1,0,0.492,74.6
FL2379,TAIL1080,AL1,0,0.515,91.2
FL2380,TAIL1080,AL1,0,0.528,90.6
FL2381,TAIL1080,AL1,0,0.845,77.8
FL2382,TAIL1080,AL1,0,0.534,80.9
FL2383,TAIL1081,AL2,1,1.8,27.6
FL2384,TAIL1081,AL2,1,0.983,37.8
FL2385,TAIL1081,AL2,0,0.697,57.6
FL2386,TAIL1081,AL2,1,0.983,37.4
FL2387,TAIL1081,AL2,0,0.381,91.6
FL2388,TAIL1081,AL2,0,0.539,82.6
FL2389,TAIL1081,AL2,0,0.63,59.7
FL2390,TAIL1081,AL2,0,0.76,67.2
FL2391,TAIL1081,AL2,0,0.818,73.7
FL2392,TAIL1081,AL2,1,0.93,50.8
FL2393,TAIL1081,AL2,0,0.614,68.7
FL2394,TAIL1081,AL2,0,0.785,54.6
FL2395,TAIL1081,AL2,1,0.909,46.4
FL2396,TAIL1081,AL2,0,0.551,75.7
FL2397,TAIL1081,AL2,0,0.589,73.5
FL2398,TAIL1081,AL2,0,0.654,65.9
FL2399,TAIL1081,AL2,0,0.749,71.2
FL2400,TAIL1081,AL2,0,0.861,48.4
FL2401,TAIL1081,AL2,0,0.586,64.2
FL2402,TAIL1081,AL2,0,0.778,50.8
FL2403,TAIL1082,AL4,1,1.8,53.5
FL2404,TAIL1082,AL4,1,1.42,29.7
FL2405,TAIL1082,AL4,1,1.021,34.2
FL2406,TAIL1082,AL4,0,0.638,73.0
FL2407,TAIL1082,AL4,0,0.767,71.2
FL2408,TAIL1082,AL4,0,0.782,65.8
FL2409,TAIL1082,AL4,1,0.865,47.1
FL2410,TAIL1082,AL4,0,0.505,68.6
FL2411,TAIL1082,AL4,0,0.643,69.0
FL2412,TAIL1082,AL4,0,0.712,69.5
FL2413,TAIL1082,AL4,0,0.861,76.5
FL2414,TAIL1082,AL4,0,0.434,94.4
FL2415,TAIL1082,AL4,0,0.544,72.6
FL2416,TAIL1082,AL4,0,0.655,54.4
FL2417,TAIL1082,AL4,0,0.749,45.4
FL2418,TAIL1082,AL4,1,1.001,85.3
FL2419,TAIL1082,AL4,0,0.71,67.2
FL2420,TAIL1082,AL4,0,0.746,77.8
FL2421,TAIL1082,AL4,0,0.849,47.1
FL2422,TAIL1082,AL4,0,0.835,43.5
FL2423,TAIL1082,AL4,0,0.759,55.4
FL2424,TAIL1083,AL2,1,1.8,47.7
FL2425,TAIL1083,AL2,1,0.91,59.2
FL2426,TAIL1083,AL2,0,0.803,82.6
FL2427,TAIL1083,AL2,1,0.936,52.4
FL2428,TAIL1083,AL2,1,0.867,60.0
FL2429,TAIL1083,AL2,0,0.771,49.0
FL2430,TAIL1083,AL2,1,0.881,33.6
FL2431,TAIL1083,AL2,0,0.427,61.6
FL2432,TAIL1083,AL2,0,0.496,90.7
FL2433,TAIL1083,AL2,0,0.551,47.7
FL2434,TAIL1083,AL2,0,0.763,65.7
FL2435,TAIL1083,AL2,0,0.825,51.6
FL2436,TAIL1084,AL1,1,1.8,38.8
FL2437,TAIL1084,AL1,1,1.8,29.6
FL2438,TAIL1084,AL1,1,1.8,41.5
FL2439,TAIL1084,AL1,0,0.567,65.5
FL2440,TAIL1084,AL1,0,0.554,63.1
FL2441,TAIL1084,AL1,0,0.577,73.5
FL2442,TAIL1084,AL1,0,0.671,46.2
FL2443,TAIL1084,AL1,0,0.793,53.3
FL2444,TAIL1084,AL1,1,0.891,47.0
FL2445,TAIL1084,AL1,0,0.754,58.2
FL2446,TAIL1084,AL1,0,0.724,55.4
FL2447,TAIL1084,AL1,1,0.865,58.0
FL2448,TAIL1084,AL1,1,0.967,51.4
FL2449,TAIL1084,AL1,0,0.636,78.3
FL2450,TAIL1084,AL1,0,0.624,75.8
FL2451,TAIL1084,AL1,0,0.726,68.5
FL2452,TAIL1084,AL1,0,0.811,49.3
FL2453,TAIL1084,AL1,0,0.615,86.1
FL2454,TAIL1084,AL1,0,0.711,73.5
FL2455,TAIL1084,AL1,0,0.724,74.6
FL2456,TAIL1084,AL1,0,0.82,60.2
FL2457,TAIL1084,AL1,0,0.803,55.6
FL2458,TAIL1084,AL1,0,0.824,77.6
FL2459,TAIL1084,AL1,0,0.589,77.8
FL2460,TAIL1085,AL3,1,1.8,52.0
FL2461,TAIL1085,AL3,1,1.61,42.8
FL2462,TAIL1085,AL3,1,1.66,36.5
FL2463,TAIL1085,AL3,1,1.718,42.5
FL2464,TAIL1085,AL3,0,0.567,55.0
FL2465,TAIL1085,AL3,1,0.871,50.3
FL2466,TAIL1085,AL3,0,0.691,80.6
FL2467,TAIL1085,AL3,1,0.978,42.3
FL2468,TAIL1085,AL3,0,0.681,48.9
FL2469,TAIL1085,AL3,0,0.775,64.5
FL2470,TAIL1085,AL3,0,0.841,62.2
FL2471,TAIL1085,AL3,0,0.724,77.6
FL2472,TAIL1085,AL3,0,0.788,54.6
FL2473,TAIL1085,AL3,1,1.15,40.2
FL2474,TAIL1085,AL3,0,0.633,52.1
FL2475,TAIL1085,AL3,0,0.844,61.0
FL2476,TAIL1085,AL3,1,0.934,52.2
FL2477,TAIL1085,AL3,0,0.699,61.4
FL2478,TAIL1085,AL3,0,0.762,60.3
FL2479,TAIL1085,AL3,1,0.931,67.6
FL2480,TAIL1085,AL3,1,0.885,67.9
FL2481,TAIL1085,AL3,0,0.394,95.6
FL2482,TAIL1085,AL3,0,0.403,62.9
FL2483,TAIL1086,AL3,1,1.592,34.3
FL2484,TAIL1086,AL3,1,1.268,55.9
FL2485,TAIL1086,AL3,0,0.796,52.1
FL2486,TAIL1086,AL3,1,0.923,55.1
FL2487,TAIL1086,AL3,0,0.723,46.7
FL2488,TAIL1086,AL3,1,0.904,50.8
FL2489,TAIL1086,AL3,0,0.588,75.4
FL2490,TAIL1086,AL3,0,0.787,76.2
FL2491,TAIL1086,AL3,1,0.899,74.5
FL2492,TAIL1086,AL3,0,0.706,63.3
FL2493,TAIL1086,AL3,0,0.794,72.5
FL2494,TAIL1086,AL3,1,0.865,66.5
FL2495,TAIL1086,AL3,0,0.719,69.8
FL2496,TAIL1086,AL3,0,0.734,59.5
FL2497,TAIL1086,AL3,1,0.955,36.5
FL2498,TAIL1086,AL3,0,0.428,87.8
FL2499,TAIL1086,AL3,0,0.536,90.6
FL2500,TAIL1086,AL3,0,0.776,63.9
FL2501,TAIL1086,AL3,1,0.979,62.3
FL2502,TAIL1087,AL3,1,1.8,23.1
FL2503,TAIL1087,AL3,1,1.8,16.9
FL2504,TAIL1087,AL3,1,0.92,52.8
FL2505,TAIL1087,AL3,0,0.613,67.8
FL2506,TAIL1087,AL3,0,0.557,63.6
FL2507,TAIL1087,AL3,0,0.722,55.5
FL2508,TAIL1087,AL3,1,0.896,57.4
FL2509,TAIL1087,AL3,0,0.614,84.5
FL2510,TAIL1087,AL3,1,0.916,74.0
FL2511,TAIL1087,AL3,1,0.889,59.9
FL2512,TAIL1087,AL3,1,0.912,60.1
FL2513,TAIL1087,AL3,0,0.592,60.9
FL2514,TAIL1087,AL3,0,0.682,46.4
FL2515,TAIL1087,AL3,0,0.803,45.4
FL2516,TAIL1088,AL4,1,1.8,44.0
FL2517,TAIL1088,AL4,1,1.667,24.7
FL2518,TAIL1088,AL4,1,1.105,56.9
FL2519,TAIL1088,AL4,1,1.072,69.0
FL2520,TAIL1088,AL4,0,0.64,72.9
FL2521,TAIL1088,AL4,0,0.83,45.3
FL2522,TAIL1088,AL4,0,0.511,81.5
FL2523,TAIL1088,AL4,0,0.655,46.3
FL2524,TAIL1088,AL4,0,0.738,51.2
FL2525,TAIL1088,AL4,0,0.809,48.7
FL2526,TAIL1088,AL4,0,0.705,58.4
FL2527,TAIL1088,AL4,0,0.848,89.7
FL2528,TAIL1088,AL4,0,0.448,70.8
FL2529,TAIL1088,AL4,0,0.436,83.1
FL2530,TAIL1088,AL4,0,0.437,89.6
FL2531,TAIL1088,AL4,0,0.555,88.9
FL2532,TAIL1088,AL4,0,0.65,76.0
FL2533,TAIL1088,AL4,0,0.68,71.5
FL2534,TAIL1089,AL4,1,1.8,39.7
FL2535,TAIL1089,AL4,1,1.352,44.9
FL2536,TAIL1089,AL4,1,1.036,73.6
FL2537,TAIL1089,AL4,0,0.414,88.7
FL2538,TAIL1089,AL4,0,0.395,114.3
FL2539,TAIL1089,AL4,0,0.425,83.5
FL2540,TAIL1089,AL4,0,0.532,90.1
FL2541,TAIL1089,AL4,0,0.593,69.4
FL2542,TAIL1089,AL4,0,0.606,51.3
FL2543,TAIL1089,AL4,0,0.709,60.6
FL2544,TAIL1089,AL4,0,0.788,60.8
FL2545,TAIL1089,AL4,1,0.875,38.5
FL2546,TAIL1089,AL4,1,0.982,55.3
FL2547,TAIL1089,AL4,0,0.836,50.9
FL2548,TAIL1089,AL4,1,0.972,72.8
FL2549,TAIL1089,AL4,0,0.416,75.0
FL2550,TAIL1089,AL4,0,0.726,68.5
FL2551,TAIL1089,AL4,0,0.843,50.7
FL2552,TAIL1089,AL4,0,0.73,73.8
FL2553,TAIL1089,AL4,0,0.753,66.8
FL2554,TAIL1089,AL4,1,1.007,62.5
FL2555,TAIL1089,AL4,0,0.791,59.7
FL2556,TAIL1089,AL4,0,0.514,85.8
FL2557,TAIL1089,AL4,0,0.705,60.0
FL2558,TAIL1089,AL4,0,0.828,75.9
FL2559,TAIL1089,AL4,0,0.403,96.4
FL2560,TAIL1090,AL1,1,1.8,18.8
FL2561,TAIL1090,AL1,0,0.625,66.8
FL2562,TAIL1090,AL1,0,0.613,84.3
FL2563,TAIL1090,AL1,0,0.793,75.3
FL2564,TAIL1090,AL1,0,0.625,70.6
FL2565,TAIL1090,AL1,0,0.709,64.3
FL2566,TAIL1090,AL1,0,0.816,82.3
FL2567,TAIL1090,AL1,0,0.507,71.9
FL2568,TAIL1090,AL1,0,0.574,49.2
FL2569,TAIL1090,AL1,0,0.669,68.9
FL2570,TAIL1090,AL1,0,0.73,80.4
FL2571,TAIL1090,AL1,0,0.822,66.4
FL2572,TAIL1090,AL1,0,0.808,59.7
FL2573,TAIL1090,AL1,1,0.894,76.2
FL2574,TAIL1090,AL1,0,0.73,71.4
FL2575,TAIL1090,AL1,0,0.835,72.9
FL2576,TAIL1091,AL1,1,1.8,27.4
FL2577,TAIL1091,AL1,1,0.957,48.3
FL2578,TAIL1091,AL1,0,0.532,87.5
FL2579,TAIL1091,AL1,0,0.632,74.8
FL2580,TAIL1091,AL1,0,0.743,65.9
FL2581,TAIL1091,AL1,0,0.756,54.4
FL2582,TAIL1091,AL1,0,0.786,57.0
FL2583,TAIL1091,AL1,0,0.814,60.2
FL2584,TAIL1091,AL1,0,0.424,76.6
FL2585,TAIL1091,AL1,0,0.471,74.5
FL2586,TAIL1091,AL1,0,0.491,71.8
FL2587,TAIL1091,AL1,0,0.651,76.6
FL2588,TAIL1091,AL1,0,0.755,92.3
FL2589,TAIL1091,AL1,1,0.88,56.2
FL2590,TAIL1091,AL1,0,0.66,78.3
FL2591,TAIL1091,AL1,0,0.764,56.0
FL2592,TAIL1091,AL1,1,0.999,38.2
FL2593,TAIL1091,AL1,0,0.574,72.9
FL2594,TAIL1091,AL1,0,0.551,69.2
FL2595,TAIL1092,AL1,1,1.8,9.4
FL2596,TAIL1092,AL1,1,1.592,44.7
FL2597,TAIL1092,AL1,0,0.514,74.8
FL2598,TAIL1092,AL1,0,0.545,81.3
FL2599,TAIL1092,AL1,0,0.581,77.5
FL2600,TAIL1092,AL1,0,0.756,67.8
FL2601,TAIL1092,AL1,0,0.793,77.3
FL2602,TAIL1092,AL1,0,0.615,62.3
FL2603,TAIL1092,AL1,0,0.722,87.2
FL2604,TAIL1092,AL1,1,0.911,44.9
FL2605,TAIL1092,AL1,1,0.925,66.6
FL2606,TAIL1092,AL1,0,0.52,72.2
